GeneID	SRR16497780	SRR16497781	SRR16497782	SRR16497783	SRR16497784	SRR16497785
ENSG00000019485	170	222	428	269	214	240
ENSG00000019505	6	2	6	1	6	1
ENSG00000019549	0	105	4	100	1	122
ENSG00000019582	48	18	394	26	56	42
ENSG00000019991	7	659	83	283	6	881
ENSG00000019995	77	97	222	143	81	218
ENSG00000020129	469	1581	939	981	573	813
ENSG00000020181	320	1395	604	639	422	541
ENSG00000020219	0	1	1	3	0	0
ENSG00000020256	110	143	267	249	177	225
ENSG00000020426	47	98	147	130	108	140
ENSG00000020577	534	444	1293	1840	862	1499
ENSG00000020633	7	6	12	7	1	1
ENSG00000020922	142	111	257	158	172	182
ENSG00000021300	105	40	202	65	85	38
ENSG00000021355	4	4	26	3	8	2
ENSG00000021461	1	0	3	5	0	0
ENSG00000021488	5	12	5	4	3	0
ENSG00000021574	126	187	485	300	204	244
ENSG00000021645	43	27	13	35	10	53
ENSG00000021762	226	492	613	410	329	484
ENSG00000021776	131	237	732	471	260	428
ENSG00000021826	220	278	619	604	291	434
ENSG00000021852	17	10	6	2	1	4
ENSG00000022267	542	2235	4422	1469	1395	1821
ENSG00000022277	140	225	516	452	240	501
ENSG00000022355	5	7	3	9	4	0
ENSG00000022556	13	6	6	6	2	1
ENSG00000022567	182	97	320	209	192	129
ENSG00000022840	471	795	1356	1643	694	1912
ENSG00000022976	82	74	148	122	91	71
ENSG00000023041	83	74	280	182	111	210
ENSG00000023171	21	70	66	76	31	76
ENSG00000023191	1370	1447	2109	2482	1675	2600
ENSG00000023228	1945	1054	2412	1646	1687	1431
ENSG00000023287	169	300	838	603	323	475
ENSG00000023318	45	122	448	313	100	291
ENSG00000023330	142	196	426	388	253	759
ENSG00000023445	51	24	53	39	45	12
ENSG00000023516	265	390	1576	785	531	704
ENSG00000023572	65	40	265	99	108	133
ENSG00000023608	41	77	112	102	77	123
ENSG00000023697	69	81	269	147	121	214
ENSG00000023734	158	506	1289	948	497	1232
ENSG00000023839	29	11	18	11	6	6
ENSG00000023892	3	16	1	2	3	1
ENSG00000023902	551	344	1028	635	742	615
ENSG00000023909	178	508	380	753	216	1481
ENSG00000024048	199	432	831	702	345	744
ENSG00000024422	956	3839	2104	3632	1307	5009
ENSG00000024526	34	20	254	56	107	156
ENSG00000024862	17	19	51	45	19	39
ENSG00000025039	123	89	555	448	204	313
ENSG00000025156	60	54	244	98	93	117
ENSG00000025293	365	501	960	814	502	731
ENSG00000025423	7	3	6	7	5	3
ENSG00000025434	72	122	117	124	64	155
ENSG00000025708	89	106	56	93	79	110
ENSG00000025770	861	471	973	634	960	778
ENSG00000025772	208	155	492	338	345	350
ENSG00000025796	98	279	555	477	234	484
ENSG00000025800	400	566	1540	1198	737	1186
ENSG00000026025	3082	3850	17977	8698	6016	7530
ENSG00000026036	53	28	56	64	47	47
ENSG00000026103	1	23	4	14	2	14
ENSG00000026297	94	105	103	87	49	88
ENSG00000026508	1522	5095	11229	5451	3019	8532
ENSG00000026559	66	17	43	63	51	26
ENSG00000026652	195	216	707	498	396	419
ENSG00000026751	3	9	0	9	0	0
ENSG00000026950	47	229	126	145	27	182
ENSG00000027001	62	36	134	130	60	107
ENSG00000027075	14	21	7	11	9	8
ENSG00000027644	1	11	5	9	2	9
ENSG00000027697	45	110	221	178	82	178
ENSG00000027847	181	314	313	360	238	370
ENSG00000027869	0	3	10	8	4	4
ENSG00000028116	2	2	18	6	7	1
ENSG00000028137	7	142	15	94	4	210
ENSG00000028203	110	216	582	378	216	412
ENSG00000028277	29	27	25	19	24	11
ENSG00000028310	454	356	923	715	692	648
ENSG00000028528	1168	1263	2327	1533	1271	1227
ENSG00000028839	20	92	128	93	30	126
ENSG00000029153	323	159	851	370	515	456
ENSG00000029363	197	312	1632	746	521	867
ENSG00000029364	193	410	745	703	400	694
ENSG00000029534	130	299	156	336	184	300
ENSG00000029559	0	5	0	0	0	0
ENSG00000029639	14	92	122	95	77	135
ENSG00000029725	277	328	882	540	357	673
ENSG00000029993	149	73	327	101	190	149
ENSG00000030066	439	465	1529	811	765	907
ENSG00000030110	88	52	187	140	99	159
ENSG00000030304	11	6	1	5	1	10
ENSG00000030419	9	62	104	107	50	101
ENSG00000030582	2271	6483	5505	6937	2750	4791
ENSG00000031003	30	111	282	243	130	306
ENSG00000031081	290	503	1114	522	499	640
ENSG00000031691	15	27	113	45	42	48
ENSG00000031698	502	644	1516	1693	773	1498
ENSG00000031823	242	208	652	374	457	397
ENSG00000032219	93	201	269	256	169	232
ENSG00000032389	121	189	318	248	185	251
ENSG00000032444	567	636	1094	880	637	783
ENSG00000032742	55	84	235	130	72	136
ENSG00000033011	108	102	166	190	120	171
ENSG00000033030	96	90	173	117	99	134
ENSG00000033050	38	49	90	88	70	110
ENSG00000033100	600	917	1405	1193	836	1272
ENSG00000033122	17	25	52	14	26	11
ENSG00000033170	113	297	566	334	131	311
ENSG00000033178	241	295	1028	541	386	676
ENSG00000033327	323	269	973	639	524	446
ENSG00000033627	415	413	1089	923	568	719
ENSG00000033800	81	108	423	209	151	215
ENSG00000033867	377	1704	1830	1155	758	1673
ENSG00000034053	1163	1354	2308	2531	1497	1960
ENSG00000034152	132	294	452	344	281	611
ENSG00000034239	2	8	4	12	2	8
ENSG00000034510	3521	6101	7573	5767	4973	7015
ENSG00000034533	17	35	83	41	25	41
ENSG00000034677	185	109	526	284	206	182
ENSG00000034693	26	67	108	80	59	89
ENSG00000034713	136	293	646	371	266	390
ENSG00000034971	0	8	1	4	0	2
ENSG00000035115	107	196	384	254	237	166
ENSG00000035141	79	71	370	245	185	274
ENSG00000035403	4361	6095	13524	11137	6825	10334
ENSG00000035499	81	30	159	34	113	84
ENSG00000035664	289	143	292	392	247	265
ENSG00000035681	119	110	545	353	209	282
ENSG00000035687	139	184	472	347	241	360
ENSG00000035720	9	6	1	0	2	0
ENSG00000035862	2330	5510	8800	3975	3087	4319
ENSG00000035928	204	252	612	289	261	371
ENSG00000036054	194	306	1061	708	375	612
ENSG00000036257	402	417	1088	646	561	677
