"","SRR16497780","SRR16497781","SRR16497782","SRR16497783","SRR16497784","SRR16497785"
"ENSG00000133083",1943.24082483228,563.591979110294,5451.30599943565,2325.79380675657,3456.44040983576,1273.46510352999
"ENSG00000133101",17.0210875167791,8.88545913011725,3.55442686335731,5.70446974327118,3.35685374862651,3.67787755532127
"ENSG00000133103",90.7791334228218,186.594641732462,178.906152122318,206.99075925584,110.776173704675,183.893877766063
"ENSG00000133104",235.458377315444,283.06534085945,616.693060792493,598.969323043474,444.223646068241,491.91612302422
"ENSG00000133105",2.83684791946318,3.80805391290739,1.77721343167865,5.70446974327118,3.35685374862651,0
"ENSG00000133106",5.67369583892636,24.1176747817468,1.77721343167865,52.9700761875181,13.427414994506,51.4902857744977
"ENSG00000133107",19.8579354362423,11.4241617387222,7.10885372671461,1.62984849807748,15.6653174935904,0
"ENSG00000133110",43.9711427516793,44.4272956505862,0,12.2238637355811,0,2.75840816649095
"ENSG00000133111",28.3684791946318,22.8483234774444,52.7239984731334,25.262651720201,39.1632937339759,34.0203673867217
"ENSG00000133112",554.603768255052,1092.91147300442,2006.4739643652,1569.54410364861,948.87065961176,2221.43804341405
"ENSG00000133114",889.351822751707,383.344093899344,456.151447464188,309.671214634721,598.638918505061,226.189469652258
"ENSG00000133116",11.3473916778527,12.6935130430246,0.592404477226218,2.44477274711622,3.35685374862651,4.59734694415158
"ENSG00000133119",39.7158708724845,25.3870260860493,130.921389466994,66.008864172138,109.657222455133,109.416857270808
"ENSG00000133121",710.630403825527,543.282358241455,828.181459162252,731.801975636789,917.540024624579,848.670245890383
"ENSG00000133124",12.7658156375843,0,1.18480895445244,0.814924249038741,4.47580499816868,0.919469388830317
"ENSG00000133131",296.450607583902,387.152147812252,287.316171454716,406.647200270332,248.407177398362,417.439102528964
"ENSG00000133134",17.0210875167791,10.1548104344197,16.5873253623341,8.96416673942615,11.1895124954217,6.43628572181222
"ENSG00000133135",8.51054375838954,1.26935130430246,15.4025164078817,4.0746212451937,24.6169274899277,2.75840816649095
"ENSG00000133138",49.6448385906057,166.285020863623,36.7290775880255,64.3790156740605,20.141122491759,79.9938368282376
"ENSG00000133142",167.374027248328,163.746318255018,230.445341640999,219.214622991421,201.41122491759,182.974408377233
"ENSG00000133169",398.577132684577,214.520370427116,513.022277277904,511.772428396329,440.866792319615,399.049714752358
"ENSG00000133193",29.7869031543634,62.1982139108207,68.126514881015,77.4178036586804,79.445538717494,131.484122602735
"ENSG00000133195",232.621529395981,217.059073035721,203.787140165819,250.996668703932,168.961638680868,179.296530821912
"ENSG00000133216",1218.42618140944,743.839864321244,1265.96836783243,1271.28182850044,1343.86045070015,1199.90755242356
"ENSG00000133226",201.416202281886,295.758853902474,491.103311620534,383.829321297247,436.390987321446,399.969184141188
"ENSG00000133243",876.586007114123,851.734725186953,820.480200958311,649.494626483876,839.213437156627,782.4684498946
"ENSG00000133246",5.67369583892636,2.53870260860493,4.73923581780974,16.2984849807748,4.47580499816868,4.59734694415158
"ENSG00000133247",164.537179328865,79.9691321710552,86.4910536750278,109.199849371191,128.679393697349,80.9133062170679
"ENSG00000133250",112.055492818796,53.3127547807035,100.708761128457,56.2297731836731,147.701564939566,71.7186123287647
"ENSG00000133256",5.67369583892636,45.6966469548887,18.956943271239,30.1521972144334,16.7842687431325,35.8593061643824
"ENSG00000133265",320.563814899339,274.179881729332,231.037746118225,276.259320424133,364.778107350747,335.606326923066
"ENSG00000133275",781.551601812106,571.208086936109,568.708298137169,431.909851990533,835.856583408,563.634735352984
"ENSG00000133302",53.9001104698004,40.6192417376788,93.0075029245162,72.5282581644479,104.062466207422,100.222163382505
"ENSG00000133313",746.091002818817,420.155281724116,779.604292029702,774.992960835842,972.368635852145,792.582613171733
"ENSG00000133315",187.23196268457,170.09307477653,134.475816330351,164.614698305826,204.768078666217,116.77261238145
"ENSG00000133316",207.089898120812,114.241617387222,145.73150139765,203.731062259685,236.098713653398,170.101836933609
"ENSG00000133317",39.7158708724845,40.6192417376788,1.18480895445244,9.77909098846489,2.23790249908434,22.9867347207579
"ENSG00000133318",507.795777583909,1040.86806952802,933.629456108519,990.13296258207,663.538090978506,1385.64036896729
"ENSG00000133321",28.3684791946318,1614.61485907273,18.956943271239,268.925002182784,23.4979762403856,690.521511011568
"ENSG00000133392",177.302994966449,478.545441722029,87.083458152254,126.313258601005,125.322539948723,125.047836880923
"ENSG00000133393",95.0344053020166,126.935130430246,219.782061050927,154.020683068322,124.203588699181,239.062041095882
"ENSG00000133398",221.274137718128,187.863993036765,237.554195367713,177.653486290445,227.14710365706,228.947877818749
"ENSG00000133401",26.9500552349002,161.207615646413,75.8277730849559,110.829697869269,62.6612699743615,91.0274694942014
"ENSG00000133422",269.500552349002,368.111878247715,323.452844565515,414.796442760719,369.253912348916,389.855020864054
"ENSG00000133424",1241.12096476514,277.98793564224,902.824423292756,490.584397921322,1187.20727576424,313.539061591138
"ENSG00000133433",38.2974469127529,1.26935130430246,14.2177074534292,0,11.1895124954217,4.59734694415158
"ENSG00000133454",55.318534429532,21.5789721731419,4.14683134058352,21.1880304750073,7.83265874679519,8.27522449947285
"ENSG00000133460",156.026635570475,125.665779125944,88.8606715839326,100.235682631765,98.4677099597109,109.416857270808
"ENSG00000133466",112.055492818796,163.746318255018,114.926468581886,131.202804095237,88.3971487138314,117.692081770281
"ENSG00000133475",11.3473916778527,2.53870260860493,0,0.814924249038741,6.71370749725302,0
"ENSG00000133477",52.4816865100689,26.6563773903517,8.88606715839326,10.5940152375036,3.35685374862651,2.75840816649095
"ENSG00000133488",0,3.80805391290739,5.92404477226218,5.70446974327118,3.35685374862651,0.919469388830317
"ENSG00000133519",1.41842395973159,7.61610782581478,0,1.62984849807748,2.23790249908434,0
"ENSG00000133561",0,6.34675652151232,1.77721343167865,0.814924249038741,1.11895124954217,0
"ENSG00000133574",11.3473916778527,11.4241617387222,0,1.62984849807748,2.23790249908434,0.919469388830317
"ENSG00000133597",295.032183624171,149.783453907691,189.56943271239,154.020683068322,241.693469901109,175.618653266591
"ENSG00000133606",370.208653489945,524.242088676918,529.017198163012,596.524550296358,505.765964793061,636.272817070579
"ENSG00000133612",707.793555906064,680.372299106121,626.763936905338,748.100460617564,867.187218395181,796.260490727055
"ENSG00000133619",646.801325637605,324.953933901431,433.640077329591,406.647200270332,599.757869754603,376.98244942043
"ENSG00000133624",93.615981342285,97.7400504312897,127.366962603637,137.722198087547,114.133027453301,105.738979715486
"ENSG00000133627",99.2896771812113,50.7740521720986,81.1594133799918,50.5253034404019,102.94351495788,47.8124082191765
"ENSG00000133639",164.537179328865,902.508777359052,181.868174508449,273.814547677017,135.393101194602,439.506367860891
"ENSG00000133640",43.9711427516793,22.8483234774444,8.29366268116705,22.002954724046,5.59475624771085,4.59734694415158
"ENSG00000133641",65.2475021476532,59.6595113022158,61.0176611543004,35.8566669577046,48.1149037303133,96.5442858271833
"ENSG00000133657",521.980017181225,1073.87120343988,997.016735171724,1008.87622030996,961.179123356723,1711.13253261322
"ENSG00000133661",9.92896771812113,12.6935130430246,2.36961790890487,1.62984849807748,3.35685374862651,2.75840816649095
"ENSG00000133678",14.1842395973159,33.0031339118641,31.9898417702158,33.4118942105884,25.7358787394699,30.3424898314005
"ENSG00000133687",60.9922302684584,1236.3481703906,89.4530760611589,214.325077497189,74.9697337193253,1195.31020547941
"ENSG00000133703",93.615981342285,140.897994777574,248.809880435011,184.172880282755,156.653174935904,278.599224815586
"ENSG00000133704",177.302994966449,582.632248674831,543.234905616442,541.924625610763,481.149037303133,612.366612960991
"ENSG00000133706",597.156487047,641.022408672744,1013.01165605683,1302.24894996391,1074.19319956048,1306.56600152788
"ENSG00000133710",18.4395114765107,17.7709182602345,3.55442686335731,4.0746212451937,12.3084637449639,0
"ENSG00000133731",93.615981342285,95.2013478226848,104.263187991814,123.868485853889,129.798344946892,107.577918493147
"ENSG00000133739",163.118755369133,177.709182602345,362.551540062445,142.61174358178,158.891077434988,159.068204267645
"ENSG00000133740",365.95338161075,101.548104344197,248.809880435011,118.978940359656,252.88298239653,95.624816438353
"ENSG00000133742",29.7869031543634,16.501566955932,16.5873253623341,4.88954549423244,11.1895124954217,3.67787755532127
